"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CPI","TOT","AGRWTH","A","2017",1.596884,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CAN","CPI","TOT","AGRWTH","A","2020",0.7169997,
"CAN","CPI","TOT","AGRWTH","A","2021",3.395193,
"FRA","CPI","TOT","AGRWTH","A","2017",1.032283,
"FRA","CPI","TOT","AGRWTH","A","2018",1.850815,
"FRA","CPI","TOT","AGRWTH","A","2019",1.108255,
"FRA","CPI","TOT","AGRWTH","A","2020",0.4764988,
"FRA","CPI","TOT","AGRWTH","A","2021",1.642331,
"DEU","CPI","TOT","AGRWTH","A","2017",1.509497,
"DEU","CPI","TOT","AGRWTH","A","2018",1.732168,
"DEU","CPI","TOT","AGRWTH","A","2019",1.445667,
"DEU","CPI","TOT","AGRWTH","A","2020",0.5066899,
"DEU","CPI","TOT","AGRWTH","A","2021",3.14297,
"ITA","CPI","TOT","AGRWTH","A","2017",1.226533,
"ITA","CPI","TOT","AGRWTH","A","2018",1.137488,
"ITA","CPI","TOT","AGRWTH","A","2019",0.6112469,
"ITA","CPI","TOT","AGRWTH","A","2020",-0.1377076,
"ITA","CPI","TOT","AGRWTH","A","2021",1.873783,
"JPN","CPI","TOT","AGRWTH","A","2017",0.4841998,
"JPN","CPI","TOT","AGRWTH","A","2018",0.9890946,
"JPN","CPI","TOT","AGRWTH","A","2019",0.4687762,
"JPN","CPI","TOT","AGRWTH","A","2020",-0.02499583,
"JPN","CPI","TOT","AGRWTH","A","2021",-0.2333528,
"GBR","CPI","TOT","AGRWTH","A","2017",2.6,
"GBR","CPI","TOT","AGRWTH","A","2018",2.3,
"GBR","CPI","TOT","AGRWTH","A","2019",1.7,
"GBR","CPI","TOT","AGRWTH","A","2020",1,
"GBR","CPI","TOT","AGRWTH","A","2021",2.5,
"USA","CPI","TOT","AGRWTH","A","2017",2.13011,
"USA","CPI","TOT","AGRWTH","A","2018",2.442583,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"USA","CPI","TOT","AGRWTH","A","2020",1.233584,
"USA","CPI","TOT","AGRWTH","A","2021",4.697859,
"OECD","CPI","TOT","AGRWTH","A","2017",2.281251,
"OECD","CPI","TOT","AGRWTH","A","2018",2.606984,
"OECD","CPI","TOT","AGRWTH","A","2019",2.068409,
"OECD","CPI","TOT","AGRWTH","A","2020",1.368637,
"OECD","CPI","TOT","AGRWTH","A","2021",3.98303,
